protein1,protein2,label
Q9UJV3,P25786,Positive
Q9UJV3,Q9P2K3,Positive
Q9UJV3,Q9UNE2,Positive
Q9UJV3,Q8N5L8,Positive
Q9UJV3,Q9NUL5,Positive
Q9UJV3,Q9BWG6,Positive
Q9UJV3,O00560,Positive
Q9UJV3,Q6ZT89,Positive
Q9UJV3,P12236,Positive
Q9UJV3,O95863,Positive
Q9UJV3,Q5SQN1,Positive
Q9UJV3,Q86W54,Positive
Q9UJV3,Q9NZD8,Positive
Q9UJV3,O43597,Positive
Q9UJV3,O75558,Positive
Q9UJV3,Q9BSW7,Positive
Q9UJV3,Q15560,Positive
Q9UJV3,Q9BT49,Positive
Q9UJV3,Q9BYV2,Positive
Q9UJV3,P51668,Positive
Q9UJV3,Q9Y2X8,Positive
Q9UJV3,Q96LR5,Positive
Q9UJV3,Q9HAC8,Positive
Q9UJV3,Q9BRU9,Positive
Q9UJV3,Q06250,Positive
Q9UJV3,Q53FD0,Positive
Q9UJV3,Q9BQ24,Positive
Q9UJV3,P17028,Positive
Q9UJV3,Q9H7X3,Positive
Q9UJV3,Q6NX45,Positive
Q9UJV3,Q8NCA9,Positive
Q9UJV3,A8K8V0,Positive
Q9UJV3,O76021,Negative
Q9UJV3,Q86UP9,Negative
Q9UJV3,Q3LI62,Negative
Q9UJV3,P41219,Negative
Q96GT9,Q8NEA9,Positive
Q96GT9,Q9NYB0,Positive
Q96GT9,O15120,Negative
Q96GT9,Q9Y5S1,Negative
Q96HZ4,O75530,Negative
Q96HZ4,Q8NBV4,Negative
Q8WWN9,Q15438,Positive
Q8WWN9,Q99418,Positive
Q8WWN9,Q9UIA0,Positive
Q8WWN9,P01584,Negative
Q8WWN9,P30491,Negative
Q8WWN9,P28566,Negative
Q8WWN9,Q63HQ0,Negative
Q8WWN9,P08218,Negative
Q96B01,Q14565,Positive
Q96B01,Q06609,Positive
Q96B01,Q8IUQ4,Positive
Q96B01,P63122,Negative
Q96B01,P13727,Negative
Q9Y244,P28074,Positive
Q9Y244,Q9NPI9,Negative
Q8NHA8,Q86WR0,Negative
Q8NHA8,Q969K4,Negative
Q8NHA8,P51956,Negative
Q8NHA8,Q8NHW3,Negative
P45985,O60291,Negative
Q8NHA6,O95072,Negative
O15195,A5D8V6,Negative
O15194,Q15797,Positive
O15194,P53803,Negative
Q9HB58,Q8N1D5,Negative
Q9HB58,Q5W064,Negative
Q9HB58,Q6PEW1,Negative
Q9HB58,Q96T60,Negative
Q8TDM0,Q9C005,Positive
Q8TDM0,P46459,Negative
Q8TDM0,Q9BZF2,Negative
Q9Y2F9,Q96N21,Positive
Q9Y2F9,O00479,Negative
Q8TDM5,Q96MW1,Negative
Q8TDM5,Q14410,Negative
Q8TDM5,Q9BYT3,Negative
Q8TDM5,Q4G176,Negative
Q9HB55,Q99811,Negative
Q9HB55,Q6ZQX7,Negative
Q92759,Q6ZYL4,Positive
Q92759,P68104,Negative
Q92759,Q5T953,Negative
Q92759,Q01851,Negative
Q9UL17,P23771,Positive
Q9UL17,Q8TCB0,Negative
Q8NEX5,P50222,Positive
Q8NEX5,P30460,Negative
Q8N8G6,Q9BXY4,Negative
Q8N8G6,Q7L1V2,Negative
Q8N8G6,Q8TD91,Negative
Q8N8G6,Q8N5K1,Negative
Q01850,Q96IX9,Positive
Q01850,Q8TAB5,Positive
Q01850,Q53TS8,Positive
Q01850,Q504U0,Positive
Q01850,Q494R4,Positive
Q01850,Q86X02,Positive
Q01850,Q9UKJ5,Positive
Q01850,P10606,Positive
Q01850,O60573,Positive
Q01850,Q9H0I2,Positive
Q01850,Q9BQ89,Positive
Q01850,Q3B820,Positive
Q01850,Q96CS2,Positive
Q01850,Q96BZ8,Positive
Q01850,Q96GY3,Positive
Q01850,Q15014,Positive
Q01850,Q13084,Positive
Q01850,Q9P2K3,Positive
Q01850,Q9UHP6,Positive
Q01850,Q9BWG6,Positive
Q01850,Q9H788,Positive
Q01850,Q969G3,Positive
Q01850,Q9NU19,Positive
Q01850,Q9BT92,Positive
Q01850,P36406,Positive
Q01850,P02766,Positive
Q01850,P40222,Positive
Q01850,Q8N3L3,Positive
Q01850,Q96HA8,Positive
Q01850,Q96NC0,Positive
Q01850,P60606,Negative
Q01850,A0A075B6P5,Negative
Q01850,A8K8V0,Negative
Q8N8G2,Q99594,Positive
Q8N8G2,Q3KP31,Negative
Q8N8G2,P52788,Negative
Q8N8G2,Q9Y2H1,Negative
Q8N8G2,O43521,Negative
P09104,Q9BSI4,Positive
P09104,P46952,Negative
P09104,Q6ZRR9,Negative
P09105,P02042,Positive
P09105,Q8TAC1,Positive
P09105,Q8ND56,Negative
P09105,Q13542,Negative
P09105,Q96GY0,Negative
P09105,Q13510,Negative
P09105,P07333,Negative
P09455,Q9Y6K0,Negative
P09455,Q9BS18,Negative
Q5H9E4,Q9P2H3,Negative
Q5H9E4,Q15286,Negative
Q5H9E4,Q53EV4,Negative
Q5H9E4,P32942,Negative
P16671,P07948,Positive
P16671,O43186,Negative
P16671,Q86Y46,Negative
P16671,Q7L523,Negative
P16671,Q8IYV9,Negative
P16671,O15121,Negative
Q8NBZ7,Q9UI10,Negative
Q8NBZ7,P21397,Negative
Q8NBZ7,Q6P1M0,Negative
Q6P5R6,Q96T51,Negative
Q9BT88,Q92624,Positive
Q9BT88,O43765,Positive
Q9BT88,Q6ZNC8,Negative
Q9BT88,Q2M3A8,Negative
Q9BT88,P60891,Negative
Q9BT88,Q8WWB5,Negative
Q9BRT2,P07478,Negative
Q9BRT2,Q16514,Negative
Q8NBZ9,Q9H714,Negative
Q9BVI0,P68431,Positive
Q9BVI0,P62805,Positive
Q9BVI0,Q8WW01,Negative
P21796,P19367,Positive
P21796,Q7L3V2,Positive
P21796,Q8N859,Negative
Q9BVI4,O14503,Positive
Q9BVI4,Q13422,Positive
Q9BVI4,P19012,Positive
Q9BVI4,Q8N6Y0,Positive
Q9BVI4,O94907,Negative
Q9NVG8,A6NHT5,Negative
Q9NVG8,P13765,Negative
P02489,P02511,Positive
P02489,P07315,Positive
P02489,Q9H8Y8,Positive
P02489,O14558,Positive
P02489,O00560,Positive
P02489,Q9NZD8,Positive
P02489,Q96HA8,Positive
P02489,P11166,Negative
P02489,Q6PHR2,Negative
P02489,Q86UP9,Negative
P02489,Q75VX8,Negative
P02489,Q8WXB4,Negative
O14579,Q5JST6,Positive
O14579,P01911,Negative
O14579,O43918,Negative
O14579,Q96CP7,Negative
O14579,Q5TH74,Negative
Q06455,Q9P2A4,Positive
Q06455,Q8IYA8,Positive
Q06455,Q8N684,Positive
Q06455,Q96BA8,Positive
Q06455,Q9NSC5,Positive
Q06455,O60711,Positive
Q06455,P50222,Positive
Q06455,Q9GZV8,Positive
Q06455,Q8NA61,Positive
Q06455,O43597,Positive
Q06455,O75558,Positive
O75865,O95429,Positive
O75865,Q9UJY1,Positive
O75865,Q9UKT9,Positive
O75865,Q96QF0,Positive
O75865,O43617,Positive
O75865,O60669,Negative
O75865,P03952,Negative
O75865,P38484,Negative
P58549,Q92624,Positive
P58549,O43765,Positive
P58549,O60296,Negative
P58549,O95208,Negative
P58549,C9J1S8,Negative
P49841,P31749,Positive
P49841,P31751,Positive
P49841,P35222,Positive
P49841,O75398,Positive
P49841,Q13144,Positive
P49841,Q92837,Positive
P49841,P13807,Positive
P49841,P10636,Positive
P49841,P01106,Positive
P49841,P17612,Positive
P49841,Q01201,Positive
P49841,Q15797,Positive
P49841,O95863,Positive
P49841,P37840,Positive
P49841,Q6J9G0,Positive
P49841,P04637,Positive
P49841,Q14134,Positive
P49841,P63104,Positive
P49841,P48065,Negative
P49841,P12235,Negative
P49841,Q9UF47,Negative
P49841,Q6UWI2,Negative
P49841,Q9UG56,Negative
P49840,O75398,Positive
P49840,Q92837,Positive
P49840,P08238,Positive
P49840,Q8IUH5,Positive
P49840,P49908,Negative
P23246,P41235,Positive
P23246,P26599,Positive
P23246,Q13882,Positive
P23246,P09012,Positive
P23246,Q9Y281,Negative
Q687X5,Q9BTU6,Negative
Q687X5,O95838,Negative
Q687X5,Q8TDG2,Negative
P58546,Q6ZUX3,Negative
P58546,P0C7N8,Negative
P58546,Q9Y6Z4,Negative
P58546,Q8NHZ7,Negative
P58546,Q9Y4E8,Negative
P0DMV9,Q13506,Negative
Q86UV6,P78424,Positive
Q86UV6,Q92530,Positive
Q86UV6,Q04864,Positive
Q86UV6,Q5TGJ6,Negative
Q9H173,Q9UMX0,Positive
Q9NVA2,Q8WYJ6,Positive
Q9NVA2,Q99719,Positive
Q9NVA2,P01833,Negative
Q9NVA2,A8MYZ0,Negative
Q6ZVS7,O15335,Negative
Q6ZVS7,Q6ZQT0,Negative
Q9UL12,Q9NQT4,Negative
Q9UL12,Q9UBX3,Negative
Q9NQC1,Q9H8Y8,Positive
Q9NQC1,Q8WYH8,Positive
Q9NQC1,Q9P272,Negative
Q9NQC1,P78368,Negative
Q9H8W5,Q6UXG3,Negative
Q9H8W5,P17509,Negative
Q9H8W5,Q69YN2,Negative
Q9H8W4,Q96HD9,Positive
Q9H8W4,Q13155,Positive
Q9H8W4,Q9NPI1,Positive
Q9H8W4,Q9C0F1,Positive
Q9H8W4,Q9UKJ5,Positive
Q9H8W4,Q86UW9,Positive
Q9H8W4,Q9NVF7,Positive
Q9H8W4,Q9BZ67,Positive
Q9H8W4,P55789,Positive
Q9H8W4,Q86WP2,Positive
Q9H8W4,Q9UBY9,Positive
Q9H8W4,Q96JM7,Positive
Q9H8W4,O95751,Positive
Q9H8W4,Q02750,Positive
Q9H8W4,P61244,Positive
Q9H8W4,Q9NS73,Positive
Q9H8W4,Q9HAF1,Positive
Q9H8W4,Q86SE8,Positive
Q9H8W4,P10644,Positive
Q9H8W4,Q9UI14,Positive
Q9H8W4,Q6UXX9,Positive
Q9H8W4,P23297,Positive
Q9H8W4,Q99584,Positive
Q9H8W4,Q15019,Positive
Q9H8W4,Q14141,Positive
Q9H8W4,O95379,Positive
Q9H8W4,Q9Y4K3,Positive
Q9H8W4,O43617,Positive
Q9H8W4,Q9NX01,Positive
Q9H8W4,Q9H832,Positive
Q9H8W4,Q8TD17,Positive
Q9H8W4,Q9P0T4,Positive
Q9H8W4,Q5JNZ5,Negative
Q4W4Y0,Q96RQ9,Negative
Q4W4Y0,P30457,Negative
Q4W4Y0,O14843,Negative
Q4W4Y0,Q9BWQ6,Negative
P62277,Q53EL6,Positive
P62277,P62834,Negative
P62277,B2RU33,Negative
Q9H8W2,P28066,Negative
Q9H8W2,A6NGY1,Negative
Q96CG3,Q9BXS5,Positive
Q96CG3,Q8N4T4,Positive
Q96CG3,O14641,Positive
Q96CG3,Q8TBB1,Positive
Q96CG3,Q9UBU9,Positive
Q96CG3,P32969,Positive
Q96CG3,O00560,Positive
Q96CG3,Q9H190,Positive
Q96CG3,O95379,Positive
Q96CG3,Q12933,Positive
Q96CG3,Q9Y4K3,Positive
Q96CG3,Q99757,Positive
Q96CG3,Q7L622,Negative
Q96CG3,O95067,Negative
A6NE21,P06280,Negative
A6NE21,P48065,Negative
Q6IFH4,Q96GU1,Negative
Q6IFH4,Q01546,Negative
Q9UQR0,P24941,Positive
Q9UQR0,P38936,Positive
Q9UQR0,P46527,Positive
Q9UQR0,Q8NCW5,Negative
Q9UQR0,Q8N5M1,Negative
Q9UQR0,P61165,Negative
Q9UQR1,O76003,Positive
Q9UQR1,Q9H8Y8,Positive
Q9UQR1,Q15323,Positive
Q9UQR1,Q8IUQ4,Positive
Q9UQR1,P30533,Negative
Q9UQR1,O00217,Negative
Q9UQR1,Q86VY4,Negative
Q9UQR1,Q86XK3,Negative
Q9UJ83,Q8N7X4,Positive
Q9UJ83,Q96E35,Positive
Q9P1A2,P27105,Negative
Q3MIN7,Q9H8W2,Negative
P43119,P15531,Negative
P43119,Q8NEP9,Negative
Q9ULT0,P01242,Negative
Q8IX29,Q9Y5Q9,Negative
Q8IX29,P22001,Negative
Q5VT66,Q76B58,Negative
Q5VT66,Q9UBS4,Negative
P43699,Q9P031,Positive
P43699,P16333,Positive
P43115,P32320,Positive
P43115,O95967,Positive
P43115,Q0VD86,Positive
P43115,Q15323,Positive
P43115,O76015,Positive
P43115,Q6A162,Positive
P43115,P60409,Positive
P43115,P60410,Positive
P43115,P60411,Positive
P43115,P50222,Positive
P43115,Q7Z3S9,Positive
P43115,Q04864,Positive
P43115,Q9UGC6,Positive
P43115,O76081,Positive
P43115,O43597,Positive
P43115,P15884,Positive
P43115,Q8IWZ5,Positive
P43115,Q5W5X9,Negative
P43115,P09661,Negative
P43115,P40198,Negative
P43115,Q96N38,Negative
Q6P9F5,Q8IWW6,Negative
Q6P9F5,Q92828,Negative
Q6P9F5,Q8TC26,Negative
Q6P9F5,Q9NZH7,Negative
Q6P9F5,Q7L1I2,Negative
Q9Y508,O00230,Negative
Q9H3F6,Q8WZ19,Positive
Q9H3F6,Q13829,Positive
Q9H3F6,Q96HA8,Positive
Q9H3F6,Q8N5X7,Negative
O60739,O43739,Negative
Q53H54,Q8TBB1,Positive
Q3I5F7,O60779,Negative
Q3I5F7,Q96LB9,Negative
Q3I5F7,I0J062,Negative
Q3I5F7,P31152,Negative
A6NHA9,O75309,Negative
A6NHA9,Q15233,Negative
A6NHA9,Q8WWF3,Negative
A6NHA9,P54277,Negative
Q9Y6J8,P01130,Negative
Q9Y6J8,P42166,Negative
Q9Y6J8,Q13325,Negative
O60733,Q58FF8,Negative
O60733,Q9H320,Negative
O60733,Q8IV03,Negative
O60733,P06746,Negative
Q9Y6J6,P23258,Negative
Q9Y6J6,Q15018,Negative
Q70IA8,Q96MX0,Positive
Q70IA8,Q9NWS6,Positive
Q70IA8,Q6A162,Positive
Q70IA8,P49902,Positive
Q70IA8,Q8IUQ4,Positive
Q70IA8,P48775,Positive
Q70IA8,Q12800,Positive
Q70IA8,Q15025,Positive
Q70IA8,Q96DT7,Positive
Q9NPY3,Q8NGK0,Negative
P78536,Q13257,Positive
P78536,Q13607,Negative
P78536,Q8NGB6,Negative
P17813,P02750,Positive
P17813,P01137,Positive
P17813,Q5VWP2,Negative
P17813,Q9GZX9,Negative
P17812,Q14699,Negative
P17812,Q14814,Negative
Q5MJ68,Q8NEF9,Negative
Q5MJ68,O15498,Negative
Q5MJ68,Q9NS26,Negative
Q969T9,Q9GZV5,Positive
Q969T9,P46937,Positive
Q969T9,Q8IUR6,Negative
Q969T9,Q8N2F6,Negative
Q969T9,P46095,Negative
O95395,A8MWA6,Negative
O95395,Q71F78,Negative
O95395,O00253,Negative
O95395,Q86V81,Negative
O95394,Q6UXT9,Negative
O95397,Q9BQ90,Negative
O95396,Q9BTM9,Positive
O95391,Q13155,Positive
O95391,Q8NHQ1,Positive
O95391,Q6A162,Positive
O95391,Q9H2H8,Positive
O95391,Q9NVV9,Positive
O95391,Q9NZC7,Negative
O95391,Q86TX2,Negative
O95393,P46779,Negative
O95393,Q9H0R5,Negative
O95393,Q9BYZ6,Negative
P06307,P32239,Positive
P06307,O15178,Negative
P06307,O15442,Negative
P06307,Q8IXS6,Negative
P06307,A8MUV8,Negative
P06307,Q6ZVN7,Negative
Q6B0I6,Q8TDF6,Negative
F2Z3M2,Q9HCN3,Negative
P59533,A8MSI8,Negative
P59533,P56192,Negative
P59533,Q96P56,Negative
O95398,P61081,Negative
O95398,Q7RTT6,Negative
P17900,P25089,Negative
P17900,A1L167,Negative
P17900,O95677,Negative
Q8NFF2,Q5SZQ8,Negative
Q9H469,Q9HCE7,Positive
Q9H469,Q9HAU4,Positive
Q9H469,Q8NGP9,Negative
Q8NFF5,Q04864,Positive
Q8NFF5,O00560,Positive
Q8NFF5,P30485,Negative
Q8NFF5,Q96MG7,Negative
Q9H461,P56704,Positive
Q9H461,Q969E4,Negative
Q9H467,P03372,Positive
Q9H467,P06401,Positive
Q9NRC9,Q9Y334,Negative
Q9UBS0,P56279,Negative
Q8TA86,Q15077,Negative
Q8TF39,P02766,Negative
Q8TF39,Q8IUW5,Negative
Q8TF39,Q96CP7,Negative
Q9NRC1,C9JQI7,Negative
Q8WZ82,Q8N6Q8,Negative
Q8WZ82,P01298,Negative
Q8TF32,Q96A25,Negative
Q8TF32,Q6ZUK4,Negative
Q8TF32,Q71RG6,Negative
P14136,Q08117,Positive
P14136,Q13490,Positive
P14136,Q8IYR0,Positive
P14136,P17661,Positive
P14136,Q9Y247,Positive
P14136,P13646,Positive
P14136,P19012,Positive
P14136,P08727,Positive
P14136,Q8TCE9,Positive
P14136,P25791,Positive
P14136,P00540,Positive
P14136,Q9UBU9,Positive
P14136,O75928,Positive
P14136,Q8WWB5,Positive
P14136,P35398,Positive
P14136,Q96HL8,Positive
P14136,Q8IYX1,Positive
P14136,P14373,Positive
P14136,P08670,Positive
P14136,Q53FD0,Positive
P14136,Q6NX45,Positive
P14136,P50225,Negative
Q8TF30,Q96C36,Negative
Q8TF30,Q5SQS7,Negative
Q9P286,Q9H6L4,Positive
Q9P286,Q8N5M1,Positive
Q9P286,P51959,Positive
Q9P286,P60953,Positive
Q9P286,Q96SW2,Positive
Q9P286,P50402,Positive
Q9P286,Q9Y3B2,Positive
Q9P286,Q96EL1,Positive
Q9P286,Q96BZ8,Positive
Q9P286,Q8WWY3,Positive
Q9P286,Q9UBK9,Positive
Q9P286,Q96HA8,Positive
Q9P286,P00156,Negative
Q9P287,P62829,Positive
Q6ZT98,Q9NXU5,Negative
Q8N565,Q9H069,Negative
Q8N565,Q13938,Negative
Q8N565,O95433,Negative
Q8N565,Q99748,Negative
Q8N565,Q9GZP9,Negative
Q59EK9,Q9BXS5,Positive
Q59EK9,Q9H6L4,Positive
Q59EK9,Q96S94,Positive
Q59EK9,P26196,Positive
Q59EK9,P60228,Positive
Q59EK9,Q3B820,Positive
Q59EK9,P55040,Positive
Q59EK9,O15481,Positive
Q59EK9,Q96A72,Positive
Q59EK9,Q9P015,Positive
Q59EK9,P61225,Positive
Q59EK9,O00560,Positive
Q59EK9,Q9BSW7,Positive
Q59EK9,Q8TAU3,Positive
Q59EK9,Q96SQ5,Positive
Q59EK9,Q6UXV1,Negative
Q59EK9,P04201,Negative
Q96Q35,O75716,Positive
Q96Q35,O00204,Positive
Q96Q35,P56279,Positive
Q8NCR6,Q93062,Positive
Q8NCR6,O96004,Negative
Q9P289,Q9Y376,Positive
Q9P289,Q9P2B4,Positive
Q9P289,Q9BUL8,Positive
Q9P289,O43918,Negative
Q9P289,A6NH00,Negative
Q9P289,P0C7X3,Negative
Q9P289,Q7L5Y6,Negative
Q5W186,O14558,Negative
Q5W186,Q9Y237,Negative
Q5W186,Q68G75,Negative
Q5W186,P12694,Negative
Q96LD4,Q96DD0,Negative
Q9UIW0,B2RPK0,Negative
Q9UIW0,O00204,Negative
Q9UIW0,P35557,Negative
Q9UIW0,P47887,Negative
Q9UIW0,P20132,Negative
P0CF74,Q6TFL4,Negative
P0CF75,Q9HBT7,Negative
P0CF75,Q8N104,Negative
P0CF75,Q9UBY8,Negative
P0CF75,Q9BUZ4,Negative
Q86XN8,O76080,Negative
Q86XN8,A8MT65,Negative
Q86XN8,O95998,Negative
Q9H5U6,Q5VTA0,Negative
Q99436,P20618,Positive
Q99436,P28074,Positive
Q99436,P28065,Positive
Q99436,Q01459,Negative
Q99436,Q9BZM2,Negative
Q9HAY2,Q99750,Positive
Q9HAY2,A8MPY1,Negative
Q9HAY2,P01730,Negative
Q9HAY2,Q96PE5,Negative
Q9HAY2,A6NHQ2,Negative
Q9Y5Z9,P04035,Positive
Q9Y5Z9,P35610,Positive
Q9Y5Z9,Q96AZ6,Negative
Q9Y5Z9,O75324,Negative
O94842,Q8N9N5,Positive
O94842,Q8WXD5,Positive
O94842,Q01449,Positive
O94842,O95947,Positive
O94842,Q96E35,Positive
O94842,Q5HYN5,Negative
O94842,P54709,Negative
O94842,Q5T6V5,Negative
O94842,P00740,Negative
Q9H4K7,Q14508,Negative
Q9H4K7,P54920,Negative
Q9H4K1,Q9NVQ4,Negative
Q9H4K1,O60232,Negative
O94844,O95476,Negative
O94844,A6NDD5,Negative
P32189,P22736,Positive
P32189,Q6ZW35,Negative
Q02556,O14896,Positive
Q02556,Q96FL9,Negative
Q99496,P35226,Positive
Q99496,O00257,Positive
Q99496,O95503,Positive
Q99496,O95931,Positive
Q99496,Q9HC52,Positive
Q99496,P68400,Positive
Q99496,P67870,Positive
Q99496,P0C0S8,Positive
Q99496,Q9H7Z6,Positive
Q99496,Q9BSM1,Positive
Q99496,P35227,Positive
Q99496,Q3KNV8,Positive
Q99496,Q86SE9,Positive
Q99496,Q9BYE7,Positive
Q99496,Q06587,Positive
Q99496,Q8N488,Positive
Q99496,P51668,Positive
Q99496,P62837,Positive
Q99496,P61077,Positive
Q99496,Q9Y2X8,Positive
Q99496,Q96LR5,Positive
Q99496,Q969T4,Positive
Q99497,P10275,Positive
Q99497,Q9UER7,Positive
Q99497,Q13158,Positive
Q99497,Q9HD26,Positive
Q99497,O94776,Positive
Q99497,Q6GQQ9,Positive
Q99497,P32322,Positive
Q99497,P63244,Positive
Q99497,Q99932,Negative
Q99497,D3W0D1,Negative
P39656,Q86WV6,Positive
P39656,P51148,Negative
Q9P0J1,O43439,Positive
Q9P0J1,Q16674,Negative
Q9P0J1,P07101,Negative
Q9P0J1,Q5JXX7,Negative
Q9P0J1,P18124,Negative
B7ZBB8,P04406,Negative
B7ZBB8,Q8NGN7,Negative
Q12972,Q92624,Positive
Q12972,P62136,Positive
Q12972,Q6WRX3,Negative
Q5SWX8,Q9BS18,Negative
Q5SWX8,Q14761,Negative
A6NI03,Q9NP55,Negative
A6NI03,Q8NGE7,Negative
A6NI03,A8MV24,Negative
A6NI03,A6NJL1,Negative
P10092,Q92914,Negative
P10092,Q8IUK5,Negative
Q6ZUS5,P37198,Positive
Q6ZUS5,Q6NUQ1,Positive
Q6ZUS5,Q9UBB9,Positive
Q6ZUS5,Q8N6Y0,Positive
Q6ZUS5,Q8NCL4,Negative
Q86TX2,Q96NS1,Negative
Q86TX2,P21217,Negative
Q9H1X3,P22061,Negative
Q9H1X3,H3BU77,Negative
Q6ZUS6,P35716,Negative
Q6ZUS6,P16189,Negative
Q6ZUS6,Q86SE8,Negative
Q6N063,Q9UKF5,Negative
Q6N063,O15254,Negative
Q09MP3,P0DMT0,Negative
Q9UI72,C9J1S8,Negative
Q9H115,Q15041,Positive
Q9H115,O15155,Positive
Q9H115,O00161,Positive
Q9H115,O95721,Positive
Q9H115,O14662,Positive
Q9H115,Q8N4C7,Positive
Q9H115,Q16623,Positive
Q9H115,P61266,Positive
Q9H115,Q13277,Positive
Q9H115,Q12846,Positive
Q9H115,Q13190,Positive
Q9H115,O43752,Positive
Q9H115,O14948,Positive
Q9H115,O00322,Negative
Q9H115,Q9NZK5,Negative
P21802,P05230,Positive
P21802,O15520,Positive
P21802,P09038,Positive
P21802,P21781,Positive
P21802,P62993,Positive
Q6RFH5,Q96PM5,Positive
Q6RFH5,Q9UFP1,Negative
Q6RFH5,Q496J9,Negative
Q6RFH5,Q53G59,Negative
Q6RFH5,Q2M2I5,Negative
Q6RFH5,Q15399,Negative
Q02083,A6NET4,Negative
Q02083,Q5JT25,Negative
Q02080,P52888,Negative
Q02080,P16220,Negative
Q6RFH8,P17661,Positive
Q02779,O75896,Negative
Q9H307,O00422,Positive
Q9H307,O00625,Negative
P07237,Q96HE7,Positive
P07237,Q8TCT9,Positive
P07237,Q13162,Positive
P07237,P13928,Negative
P07237,O43614,Negative
P07237,P07954,Negative
Q8N1B3,P04745,Negative
Q8N1B3,Q9BTL3,Negative
Q8N1B3,Q99633,Negative
Q8N1B3,Q96P47,Negative
Q8N1B3,Q13126,Negative
P16070,Q9UPY5,Positive
P16070,P10451,Positive
P16070,P78383,Negative
P16070,Q9BR09,Negative
Q9P246,Q9H228,Negative
Q9NWL6,Q14CZ0,Negative
Q96PN8,Q08117,Positive
Q96PN8,Q5JST6,Positive
Q96PN8,Q9UKT9,Positive
Q96PN8,Q8TBB1,Positive
Q96PN8,Q9BYM8,Positive
Q96PN8,Q04864,Positive
Q96PN8,P15884,Positive
Q96PN8,Q9C026,Positive
Q96PN8,Q8N1B4,Positive
Q96PN8,P24278,Positive
Q96PN8,P29803,Negative
Q96PN8,Q68D42,Negative
Q9H305,Q15025,Positive
Q9H305,Q8IY31,Negative
Q9H305,A0A075B6K2,Negative
Q9H305,Q8WV83,Negative
Q9H305,Q9P2J9,Negative
Q9H305,D6RBQ6,Negative
P07948,P25063,Positive
P07948,P16671,Positive
P07948,P11049,Positive
P07948,P46527,Positive
P07948,Q13480,Positive
P07948,Q9HCN6,Positive
P07948,P33993,Positive
P07948,Q9NWQ8,Positive
P07948,P63244,Positive
P07948,P12931,Positive
P07948,Q99584,Negative
P07948,Q13137,Negative
Q2TAL6,P49639,Positive
Q2TAL6,Q5TA81,Positive
Q2TAL6,Q9UHD9,Positive
Q2TAL6,Q6EMK4,Positive
Q2TAL6,P46778,Negative
Q2TAL6,Q53H82,Negative
Q2TAL6,Q8IW40,Negative
Q8WYR4,Q6PF18,Positive
Q8WYR4,Q6ZST4,Negative
Q8WYR4,A2IDD5,Negative
P58304,Q9BPU9,Negative
P58304,Q9H1A3,Negative
P58304,Q96HZ4,Negative
Q9P244,P0CJ90,Negative
Q96MB7,Q15067,Negative
Q96MB7,Q5H9M0,Negative
Q96MB7,O43731,Negative
Q96MB7,P28482,Negative
Q96KN2,O75426,Negative
Q96KN2,Q9Y6I8,Negative
Q96KN2,Q8NBD8,Negative
Q16772,O43581,Negative
Q16772,Q13106,Negative
Q16772,Q99733,Negative
Q16772,P61619,Negative
Q9UNW8,Q9NRP4,Negative
Q9UNW8,O60565,Negative
Q9UNW8,Q6MZZ7,Negative
Q9UNW8,Q9Y6Q5,Negative
Q9UNW9,Q64ET8,Negative
Q9UNW9,Q969Y0,Negative
Q9UNW9,Q8WVH0,Negative
Q9UNW9,Q8N6F8,Negative
P49146,P10082,Positive
P49146,O60563,Negative
P49146,P48651,Negative
Q2TAL5,Q6RSH7,Negative
Q2TAL5,P47972,Negative
Q14684,Q6UWD8,Negative
Q14684,P01571,Negative
Q6X4W1,O95273,Positive
Q6X4W1,O14512,Positive
Q6X4W1,P52961,Negative
Q14680,Q9BZR8,Positive
Q14680,Q6UXV4,Negative
Q14680,Q6NVV7,Negative
Q14681,Q8N684,Negative
Q14681,Q14493,Negative
Q14681,Q9C0C6,Negative
Q14681,P07355,Negative
Q8NG48,P62341,Negative
Q8NG48,Q8IXQ8,Negative
P16383,Q8N0V1,Negative
P16383,P09919,Negative
O75400,Q8NAS9,Negative
Q6GQQ9,Q8IVM0,Positive
Q6GQQ9,Q99497,Positive
Q6GQQ9,P0DOX8,Negative
Q6GQQ9,Q6P6B1,Negative
Q6GQQ9,Q7Z5H5,Negative
Q8NB91,P55008,Negative
Q8NB91,Q9Y5J5,Negative
Q8NGP4,E9PJI5,Negative
Q8NGP4,Q02040,Negative
Q8NGP4,Q96I51,Negative
Q8NGP4,Q9H4W6,Negative
P11766,O95237,Negative
Q8N3X6,P43360,Positive
Q8N3X6,Q6ZV56,Negative
Q8N3X6,Q06330,Negative
O14807,Q8WU66,Negative
O14807,Q96BI3,Negative
O14807,Q05639,Negative
O14804,Q9H857,Negative
B1ATL7,Q8N2M4,Negative
O75437,O15255,Negative
O75437,Q7LGC8,Negative
O75437,Q9H3Y6,Negative
Q96B23,P15248,Negative
Q96B23,O43869,Negative
Q2M3T9,P54107,Negative
Q96P63,Q0VAA5,Negative
Q96P63,Q96AA3,Negative
Q96P63,P02728,Negative
Q96P63,Q9NRG4,Negative
Q96B26,Q8WTP8,Positive
Q96B26,P15336,Positive
Q96B26,Q86Y22,Positive
Q96B26,P20674,Positive
Q96B26,Q9BVJ7,Positive
